video_id,premise,hypothesis,pair_type
trial_lie_002,I didn't even stick around to see what happened.,and I told him that the chair fell and to come back into the bedroom and he asked where his daddy was,windowed_5
trial_lie_002,I didn't even stick around to see what happened.,and I told him he was picking up the chair.,windowed_5
trial_lie_002,"And when I got to the bedroom, little Grant was trying to come, he was coming out of the door and he asked me what that noise was",and I told him that the chair fell and to come back into the bedroom and he asked where his daddy was,windowed_5
trial_lie_002,"And when I got to the bedroom, little Grant was trying to come, he was coming out of the door and he asked me what that noise was",and I told him he was picking up the chair.,windowed_5
trial_lie_002,and I told him that the chair fell and to come back into the bedroom and he asked where his daddy was,and I told him he was picking up the chair.,windowed_5
trial_lie_005,And he told me that he was trying to figure some stuff out.,"And I asked him like, what?",windowed_5
trial_lie_005,And he told me that he was trying to figure some stuff out.,"And he will, I mean, I'll never forget it.",windowed_5
trial_lie_005,And he told me that he was trying to figure some stuff out.,He was smoking a cigarette.,windowed_5
trial_lie_005,And he told me that he was trying to figure some stuff out.,"And he was like, really calm.",windowed_5
trial_lie_005,And he told me that he was trying to figure some stuff out.,And he looked at me.,windowed_5
trial_lie_005,"And I asked him like, what?","And he will, I mean, I'll never forget it.",windowed_5
trial_lie_005,"And I asked him like, what?",He was smoking a cigarette.,windowed_5
trial_lie_005,"And I asked him like, what?","And he was like, really calm.",windowed_5
trial_lie_005,"And I asked him like, what?",And he looked at me.,windowed_5
trial_lie_005,"And I asked him like, what?","And he said, what would you say if I told you Laura was dead?",windowed_5
trial_lie_005,"And he will, I mean, I'll never forget it.",He was smoking a cigarette.,windowed_5
trial_lie_005,"And he will, I mean, I'll never forget it.","And he was like, really calm.",windowed_5
trial_lie_005,"And he will, I mean, I'll never forget it.",And he looked at me.,windowed_5
trial_lie_005,"And he will, I mean, I'll never forget it.","And he said, what would you say if I told you Laura was dead?",windowed_5
trial_lie_005,"And he will, I mean, I'll never forget it.","And I was like, you know, I was like, what?",windowed_5
trial_lie_005,He was smoking a cigarette.,"And he was like, really calm.",windowed_5
trial_lie_005,He was smoking a cigarette.,And he looked at me.,windowed_5
trial_lie_005,He was smoking a cigarette.,"And he said, what would you say if I told you Laura was dead?",windowed_5
trial_lie_005,He was smoking a cigarette.,"And I was like, you know, I was like, what?",windowed_5
trial_lie_005,He was smoking a cigarette.,"And basically, he told me that the night that Laura had come over to the house that she had died.",windowed_5
trial_lie_005,"And he was like, really calm.",And he looked at me.,windowed_5
trial_lie_005,"And he was like, really calm.","And he said, what would you say if I told you Laura was dead?",windowed_5
trial_lie_005,"And he was like, really calm.","And I was like, you know, I was like, what?",windowed_5
trial_lie_005,"And he was like, really calm.","And basically, he told me that the night that Laura had come over to the house that she had died.",windowed_5
trial_lie_005,"And he was like, really calm.",And that whenever I left that he just panicked and freaked out.,windowed_5
trial_lie_005,And he looked at me.,"And he said, what would you say if I told you Laura was dead?",windowed_5
trial_lie_005,And he looked at me.,"And I was like, you know, I was like, what?",windowed_5
trial_lie_005,And he looked at me.,"And basically, he told me that the night that Laura had come over to the house that she had died.",windowed_5
trial_lie_005,And he looked at me.,And that whenever I left that he just panicked and freaked out.,windowed_5
trial_lie_005,And he looked at me.,"And I got, I started freaking out.",windowed_5
trial_lie_005,"And he said, what would you say if I told you Laura was dead?","And I was like, you know, I was like, what?",windowed_5
trial_lie_005,"And he said, what would you say if I told you Laura was dead?","And basically, he told me that the night that Laura had come over to the house that she had died.",windowed_5
trial_lie_005,"And he said, what would you say if I told you Laura was dead?",And that whenever I left that he just panicked and freaked out.,windowed_5
trial_lie_005,"And he said, what would you say if I told you Laura was dead?","And I got, I started freaking out.",windowed_5
trial_lie_005,"And he said, what would you say if I told you Laura was dead?",And I was asking him why he didn't call the cops.,windowed_5
trial_lie_005,"And I was like, you know, I was like, what?","And basically, he told me that the night that Laura had come over to the house that she had died.",windowed_5
trial_lie_005,"And I was like, you know, I was like, what?",And that whenever I left that he just panicked and freaked out.,windowed_5
trial_lie_005,"And I was like, you know, I was like, what?","And I got, I started freaking out.",windowed_5
trial_lie_005,"And I was like, you know, I was like, what?",And I was asking him why he didn't call the cops.,windowed_5
trial_lie_005,"And I was like, you know, I was like, what?",It will call for help.,windowed_5
trial_lie_005,"And basically, he told me that the night that Laura had come over to the house that she had died.",And that whenever I left that he just panicked and freaked out.,windowed_5
trial_lie_005,"And basically, he told me that the night that Laura had come over to the house that she had died.","And I got, I started freaking out.",windowed_5
trial_lie_005,"And basically, he told me that the night that Laura had come over to the house that she had died.",And I was asking him why he didn't call the cops.,windowed_5
trial_lie_005,"And basically, he told me that the night that Laura had come over to the house that she had died.",It will call for help.,windowed_5
trial_lie_005,"And basically, he told me that the night that Laura had come over to the house that she had died.",Like he told me he was going to.,windowed_5
trial_lie_005,And that whenever I left that he just panicked and freaked out.,"And I got, I started freaking out.",windowed_5
trial_lie_005,And that whenever I left that he just panicked and freaked out.,And I was asking him why he didn't call the cops.,windowed_5
trial_lie_005,And that whenever I left that he just panicked and freaked out.,It will call for help.,windowed_5
trial_lie_005,And that whenever I left that he just panicked and freaked out.,Like he told me he was going to.,windowed_5
trial_lie_005,And that whenever I left that he just panicked and freaked out.,And he told me that he got scared that he was a black man with a dead white woman.,windowed_5
trial_lie_005,"And I got, I started freaking out.",And I was asking him why he didn't call the cops.,windowed_5
trial_lie_005,"And I got, I started freaking out.",It will call for help.,windowed_5
trial_lie_005,"And I got, I started freaking out.",Like he told me he was going to.,windowed_5
trial_lie_005,"And I got, I started freaking out.",And he told me that he got scared that he was a black man with a dead white woman.,windowed_5
trial_lie_005,"And I got, I started freaking out.",And nobody was going to believe him that it was an accident.,windowed_5
trial_lie_005,And I was asking him why he didn't call the cops.,It will call for help.,windowed_5
trial_lie_005,And I was asking him why he didn't call the cops.,Like he told me he was going to.,windowed_5
trial_lie_005,And I was asking him why he didn't call the cops.,And he told me that he got scared that he was a black man with a dead white woman.,windowed_5
trial_lie_005,And I was asking him why he didn't call the cops.,And nobody was going to believe him that it was an accident.,windowed_5
trial_lie_005,It will call for help.,Like he told me he was going to.,windowed_5
trial_lie_005,It will call for help.,And he told me that he got scared that he was a black man with a dead white woman.,windowed_5
trial_lie_005,It will call for help.,And nobody was going to believe him that it was an accident.,windowed_5
trial_lie_005,Like he told me he was going to.,And he told me that he got scared that he was a black man with a dead white woman.,windowed_5
trial_lie_005,Like he told me he was going to.,And nobody was going to believe him that it was an accident.,windowed_5
trial_lie_005,And he told me that he got scared that he was a black man with a dead white woman.,And nobody was going to believe him that it was an accident.,windowed_5
trial_lie_006,"No, I didn't.","The last time I saw it was whenever they fell, whenever I came out, she was already in the bathroom.",windowed_5
trial_lie_006,"No, I didn't.",I never saw her ever.,windowed_5
trial_lie_006,"No, I didn't.","Whenever we got to the boat, it was all covered up.",windowed_5
trial_lie_006,"No, I didn't.","Honestly, I didn't even know there was a middle seat until we saw the boat the other day.",windowed_5
trial_lie_006,"The last time I saw it was whenever they fell, whenever I came out, she was already in the bathroom.",I never saw her ever.,windowed_5
trial_lie_006,"The last time I saw it was whenever they fell, whenever I came out, she was already in the bathroom.","Whenever we got to the boat, it was all covered up.",windowed_5
trial_lie_006,"The last time I saw it was whenever they fell, whenever I came out, she was already in the bathroom.","Honestly, I didn't even know there was a middle seat until we saw the boat the other day.",windowed_5
trial_lie_006,I never saw her ever.,"Whenever we got to the boat, it was all covered up.",windowed_5
trial_lie_006,I never saw her ever.,"Honestly, I didn't even know there was a middle seat until we saw the boat the other day.",windowed_5
trial_lie_006,"Whenever we got to the boat, it was all covered up.","Honestly, I didn't even know there was a middle seat until we saw the boat the other day.",windowed_5
trial_lie_007,"We had some drinks at the bar, maybe one, two.",Did you dance?,windowed_5
trial_lie_007,"We had some drinks at the bar, maybe one, two.",I got onto the dance floor myself as I explained.,windowed_5
trial_lie_007,"We had some drinks at the bar, maybe one, two.","I've been a trained dancer for some time, going to be able to dance freely as I go release.",windowed_5
trial_lie_007,"We had some drinks at the bar, maybe one, two.",I'm very much in my own space when I do that.,windowed_5
trial_lie_007,"We had some drinks at the bar, maybe one, two.",And so I got up,windowed_5
trial_lie_007,Did you dance?,I got onto the dance floor myself as I explained.,windowed_5
trial_lie_007,Did you dance?,"I've been a trained dancer for some time, going to be able to dance freely as I go release.",windowed_5
trial_lie_007,Did you dance?,I'm very much in my own space when I do that.,windowed_5
trial_lie_007,Did you dance?,And so I got up,windowed_5
trial_lie_007,Did you dance?,and I was dancing alone on the dance floor.,windowed_5
trial_lie_007,I got onto the dance floor myself as I explained.,"I've been a trained dancer for some time, going to be able to dance freely as I go release.",windowed_5
trial_lie_007,I got onto the dance floor myself as I explained.,I'm very much in my own space when I do that.,windowed_5
trial_lie_007,I got onto the dance floor myself as I explained.,And so I got up,windowed_5
trial_lie_007,I got onto the dance floor myself as I explained.,and I was dancing alone on the dance floor.,windowed_5
trial_lie_007,I got onto the dance floor myself as I explained.,Did you dance with the defendant?,windowed_5
trial_lie_007,"I've been a trained dancer for some time, going to be able to dance freely as I go release.",I'm very much in my own space when I do that.,windowed_5
trial_lie_007,"I've been a trained dancer for some time, going to be able to dance freely as I go release.",And so I got up,windowed_5
trial_lie_007,"I've been a trained dancer for some time, going to be able to dance freely as I go release.",and I was dancing alone on the dance floor.,windowed_5
trial_lie_007,"I've been a trained dancer for some time, going to be able to dance freely as I go release.",Did you dance with the defendant?,windowed_5
trial_lie_007,"I've been a trained dancer for some time, going to be able to dance freely as I go release.","He came to join the dance floor, did not join me necessarily in the dance floor initially.",windowed_5
trial_lie_007,I'm very much in my own space when I do that.,And so I got up,windowed_5
trial_lie_007,I'm very much in my own space when I do that.,and I was dancing alone on the dance floor.,windowed_5
trial_lie_007,I'm very much in my own space when I do that.,Did you dance with the defendant?,windowed_5
trial_lie_007,I'm very much in my own space when I do that.,"He came to join the dance floor, did not join me necessarily in the dance floor initially.",windowed_5
trial_lie_007,I'm very much in my own space when I do that.,And he was also dancing.,windowed_5
trial_lie_007,And so I got up,and I was dancing alone on the dance floor.,windowed_5
trial_lie_007,And so I got up,Did you dance with the defendant?,windowed_5
trial_lie_007,And so I got up,"He came to join the dance floor, did not join me necessarily in the dance floor initially.",windowed_5
trial_lie_007,And so I got up,And he was also dancing.,windowed_5
trial_lie_007,And so I got up,"And then there was a time where he reached out his hand and as the defense has said, twirl me around.",windowed_5
trial_lie_007,and I was dancing alone on the dance floor.,Did you dance with the defendant?,windowed_5
trial_lie_007,and I was dancing alone on the dance floor.,"He came to join the dance floor, did not join me necessarily in the dance floor initially.",windowed_5
trial_lie_007,and I was dancing alone on the dance floor.,And he was also dancing.,windowed_5
trial_lie_007,and I was dancing alone on the dance floor.,"And then there was a time where he reached out his hand and as the defense has said, twirl me around.",windowed_5
trial_lie_007,and I was dancing alone on the dance floor.,And that's it.,windowed_5
trial_lie_007,Did you dance with the defendant?,"He came to join the dance floor, did not join me necessarily in the dance floor initially.",windowed_5
trial_lie_007,Did you dance with the defendant?,And he was also dancing.,windowed_5
trial_lie_007,Did you dance with the defendant?,"And then there was a time where he reached out his hand and as the defense has said, twirl me around.",windowed_5
trial_lie_007,Did you dance with the defendant?,And that's it.,windowed_5
trial_lie_007,"He came to join the dance floor, did not join me necessarily in the dance floor initially.",And he was also dancing.,windowed_5
trial_lie_007,"He came to join the dance floor, did not join me necessarily in the dance floor initially.","And then there was a time where he reached out his hand and as the defense has said, twirl me around.",windowed_5
trial_lie_007,"He came to join the dance floor, did not join me necessarily in the dance floor initially.",And that's it.,windowed_5
trial_lie_007,And he was also dancing.,"And then there was a time where he reached out his hand and as the defense has said, twirl me around.",windowed_5
trial_lie_007,And he was also dancing.,And that's it.,windowed_5
trial_lie_007,"And then there was a time where he reached out his hand and as the defense has said, twirl me around.",And that's it.,windowed_5
trial_lie_008,Correct.,I didn't go to the dance club as a drinking activity.,windowed_5
trial_lie_008,Correct.,And nor did I know at the time it was a dance club until we got in there.,windowed_5
trial_lie_008,I didn't go to the dance club as a drinking activity.,And nor did I know at the time it was a dance club until we got in there.,windowed_5
trial_lie_009,"When we got to the hotel, I remember sitting, or sitting briefly on the balcony of my room, but then that was that there was no other additional time if that's what you're asking.",So he never spent time in your room?,windowed_5
trial_lie_009,"When we got to the hotel, I remember sitting, or sitting briefly on the balcony of my room, but then that was that there was no other additional time if that's what you're asking.",Besides what I just explained now.,windowed_5
trial_lie_009,So he never spent time in your room?,Besides what I just explained now.,windowed_5
trial_lie_010,I have no idea.,"I was at work, so I was presumably doing work things.",windowed_5
trial_lie_010,I have no idea.,Any idea why you would immediately call the defendant after he talked me to Rustin?,windowed_5
trial_lie_010,I have no idea.,I'm sure it was no.,windowed_5
trial_lie_010,I have no idea.,I'm sure it was work related.,windowed_5
trial_lie_010,I have no idea.,"It does seem coincidental, but I'm sure that there was something else going on that I had to call in about.",windowed_5
trial_lie_010,"I was at work, so I was presumably doing work things.",Any idea why you would immediately call the defendant after he talked me to Rustin?,windowed_5
trial_lie_010,"I was at work, so I was presumably doing work things.",I'm sure it was no.,windowed_5
trial_lie_010,"I was at work, so I was presumably doing work things.",I'm sure it was work related.,windowed_5
trial_lie_010,"I was at work, so I was presumably doing work things.","It does seem coincidental, but I'm sure that there was something else going on that I had to call in about.",windowed_5
trial_lie_010,"I was at work, so I was presumably doing work things.",I talked to him frequently about work matters.,windowed_5
trial_lie_010,Any idea why you would immediately call the defendant after he talked me to Rustin?,I'm sure it was no.,windowed_5
trial_lie_010,Any idea why you would immediately call the defendant after he talked me to Rustin?,I'm sure it was work related.,windowed_5
trial_lie_010,Any idea why you would immediately call the defendant after he talked me to Rustin?,"It does seem coincidental, but I'm sure that there was something else going on that I had to call in about.",windowed_5
trial_lie_010,Any idea why you would immediately call the defendant after he talked me to Rustin?,I talked to him frequently about work matters.,windowed_5
trial_lie_010,Any idea why you would immediately call the defendant after he talked me to Rustin?,There's...,windowed_5
trial_lie_010,I'm sure it was no.,I'm sure it was work related.,windowed_5
trial_lie_010,I'm sure it was no.,"It does seem coincidental, but I'm sure that there was something else going on that I had to call in about.",windowed_5
trial_lie_010,I'm sure it was no.,I talked to him frequently about work matters.,windowed_5
trial_lie_010,I'm sure it was no.,There's...,windowed_5
trial_lie_010,I'm sure it was work related.,"It does seem coincidental, but I'm sure that there was something else going on that I had to call in about.",windowed_5
trial_lie_010,I'm sure it was work related.,I talked to him frequently about work matters.,windowed_5
trial_lie_010,I'm sure it was work related.,There's...,windowed_5
trial_lie_010,"It does seem coincidental, but I'm sure that there was something else going on that I had to call in about.",I talked to him frequently about work matters.,windowed_5
trial_lie_010,"It does seem coincidental, but I'm sure that there was something else going on that I had to call in about.",There's...,windowed_5
trial_lie_010,I talked to him frequently about work matters.,There's...,windowed_5
trial_lie_011,I had just been on a cruise with my husband.,"We hadn't been on vacation for years, alone without the children.",windowed_5
trial_lie_011,I had just been on a cruise with my husband.,"I had a project I needed to complete, and him and sister had had to be completed that day.",windowed_5
trial_lie_011,I had just been on a cruise with my husband.,The only way in which to end it required his input and the only way in which to finish it was to work on it that night.,windowed_5
trial_lie_011,"We hadn't been on vacation for years, alone without the children.","I had a project I needed to complete, and him and sister had had to be completed that day.",windowed_5
trial_lie_011,"We hadn't been on vacation for years, alone without the children.",The only way in which to end it required his input and the only way in which to finish it was to work on it that night.,windowed_5
trial_lie_011,"I had a project I needed to complete, and him and sister had had to be completed that day.",The only way in which to end it required his input and the only way in which to finish it was to work on it that night.,windowed_5
trial_lie_012,"I don't know, maybe 10, 9, 30, 10, something around those lines.",Many even have been slightly later.,windowed_5
trial_lie_013,You were on the way to the daybreak.,"Oh, I don't remember, but evidently, I tried to call any, probably to tell him I had left the office and that something had happened, which seemed was a very normal thing for me to have done.",windowed_5
trial_lie_013,You were on the way to the daybreak.,It was to tell my boss that I had left the office and something had happened to my husband.,windowed_5
trial_lie_013,"Oh, I don't remember, but evidently, I tried to call any, probably to tell him I had left the office and that something had happened, which seemed was a very normal thing for me to have done.",It was to tell my boss that I had left the office and something had happened to my husband.,windowed_5
trial_lie_015,"Right after the shot occurred, we had fallen over in the bathroom, again, toward the sink in garbage can area, kind of in the corner.","So he didn't chase me in that moment, but that's where we struggled on the floor.",windowed_5
trial_lie_015,"Right after the shot occurred, we had fallen over in the bathroom, again, toward the sink in garbage can area, kind of in the corner.","And again, as soon as I broke away",windowed_5
trial_lie_015,"Right after the shot occurred, we had fallen over in the bathroom, again, toward the sink in garbage can area, kind of in the corner.","and he said, effing kill you, bitch.",windowed_5
trial_lie_015,"Right after the shot occurred, we had fallen over in the bathroom, again, toward the sink in garbage can area, kind of in the corner.","I don't remember a lot after that, so whether he chased me or not, I couldn't say.",windowed_5
trial_lie_015,"So he didn't chase me in that moment, but that's where we struggled on the floor.","And again, as soon as I broke away",windowed_5
trial_lie_015,"So he didn't chase me in that moment, but that's where we struggled on the floor.","and he said, effing kill you, bitch.",windowed_5
trial_lie_015,"So he didn't chase me in that moment, but that's where we struggled on the floor.","I don't remember a lot after that, so whether he chased me or not, I couldn't say.",windowed_5
trial_lie_015,"And again, as soon as I broke away","and he said, effing kill you, bitch.",windowed_5
trial_lie_015,"And again, as soon as I broke away","I don't remember a lot after that, so whether he chased me or not, I couldn't say.",windowed_5
trial_lie_015,"and he said, effing kill you, bitch.","I don't remember a lot after that, so whether he chased me or not, I couldn't say.",windowed_5
trial_lie_016,"Well, what I do recall is when I fill the gas cans, rather than have to sell loose gas hose somewhere, I didn't have anywhere to put it.","So I hung it up and when I hung it up, that ends the transaction.",windowed_5
trial_lie_016,"Well, what I do recall is when I fill the gas cans, rather than have to sell loose gas hose somewhere, I didn't have anywhere to put it.",So that's probably why if I could have put them back in the trunk or wherever and then started the car or vice versa.,windowed_5
trial_lie_016,"Well, what I do recall is when I fill the gas cans, rather than have to sell loose gas hose somewhere, I didn't have anywhere to put it.","At one point, I didn't want to just set it on the ground.",windowed_5
trial_lie_016,"Well, what I do recall is when I fill the gas cans, rather than have to sell loose gas hose somewhere, I didn't have anywhere to put it.","So I hung it up, I know that ended the transaction.",windowed_5
trial_lie_016,"Well, what I do recall is when I fill the gas cans, rather than have to sell loose gas hose somewhere, I didn't have anywhere to put it.",So that's probably why there was more than one.,windowed_5
trial_lie_016,"So I hung it up and when I hung it up, that ends the transaction.",So that's probably why if I could have put them back in the trunk or wherever and then started the car or vice versa.,windowed_5
trial_lie_016,"So I hung it up and when I hung it up, that ends the transaction.","At one point, I didn't want to just set it on the ground.",windowed_5
trial_lie_016,"So I hung it up and when I hung it up, that ends the transaction.","So I hung it up, I know that ended the transaction.",windowed_5
trial_lie_016,"So I hung it up and when I hung it up, that ends the transaction.",So that's probably why there was more than one.,windowed_5
trial_lie_016,"So I hung it up and when I hung it up, that ends the transaction.",And maybe I was topping off the gas tank for an...,windowed_5
trial_lie_016,So that's probably why if I could have put them back in the trunk or wherever and then started the car or vice versa.,"At one point, I didn't want to just set it on the ground.",windowed_5
trial_lie_016,So that's probably why if I could have put them back in the trunk or wherever and then started the car or vice versa.,"So I hung it up, I know that ended the transaction.",windowed_5
trial_lie_016,So that's probably why if I could have put them back in the trunk or wherever and then started the car or vice versa.,So that's probably why there was more than one.,windowed_5
trial_lie_016,So that's probably why if I could have put them back in the trunk or wherever and then started the car or vice versa.,And maybe I was topping off the gas tank for an...,windowed_5
trial_lie_016,"At one point, I didn't want to just set it on the ground.","So I hung it up, I know that ended the transaction.",windowed_5
trial_lie_016,"At one point, I didn't want to just set it on the ground.",So that's probably why there was more than one.,windowed_5
trial_lie_016,"At one point, I didn't want to just set it on the ground.",And maybe I was topping off the gas tank for an...,windowed_5
trial_lie_016,"So I hung it up, I know that ended the transaction.",So that's probably why there was more than one.,windowed_5
trial_lie_016,"So I hung it up, I know that ended the transaction.",And maybe I was topping off the gas tank for an...,windowed_5
trial_lie_016,So that's probably why there was more than one.,And maybe I was topping off the gas tank for an...,windowed_5
trial_lie_017,"Again, it took a long time.",It took a long time for me to get to this point.,windowed_5
trial_lie_017,"Again, it took a long time.",I never wanted to admit to this.,windowed_5
trial_lie_017,"Again, it took a long time.",And I had written out all my suicide letters.,windowed_5
trial_lie_017,"Again, it took a long time.",I sent my note.,windowed_5
trial_lie_017,"Again, it took a long time.",I sent them all in and enveloped my grandmother's.,windowed_5
trial_lie_017,It took a long time for me to get to this point.,I never wanted to admit to this.,windowed_5
trial_lie_017,It took a long time for me to get to this point.,And I had written out all my suicide letters.,windowed_5
trial_lie_017,It took a long time for me to get to this point.,I sent my note.,windowed_5
trial_lie_017,It took a long time for me to get to this point.,I sent them all in and enveloped my grandmother's.,windowed_5
trial_lie_017,It took a long time for me to get to this point.,"Do not open until November 10, 2008.",windowed_5
trial_lie_017,I never wanted to admit to this.,And I had written out all my suicide letters.,windowed_5
trial_lie_017,I never wanted to admit to this.,I sent my note.,windowed_5
trial_lie_017,I never wanted to admit to this.,I sent them all in and enveloped my grandmother's.,windowed_5
trial_lie_017,I never wanted to admit to this.,"Do not open until November 10, 2008.",windowed_5
trial_lie_017,I never wanted to admit to this.,I was hoping to be dead by then.,windowed_5
